,Epoch,Mixup Layers,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
0,0,"[6, 1, 3, 2, 3, 8, 2, 0, 2, 8, 6, 7, 2, 4, 0, 4, 3, 0, 6, 6]",0.46340374946594237,3.999999910593033,0.4633668899536133,4.248000308871269
1,1,"[8, 1, 7, 9, 8, 3, 0, 0, 2, 9, 7, 8, 1, 8, 1, 8, 3, 7, 9, 1]",0.4528380870819092,17.100001871585846,0.45332045555114747,16.736000776290894
2,2,"[3, 1, 3, 8, 0, 4, 0, 1, 9, 7, 2, 3, 1, 4, 9, 0, 4, 2, 3, 6]",0.36313576698303224,50.919997692108154,0.3689886093139648,49.080002307891846
3,3,"[9, 2, 4, 6, 9, 3, 0, 0, 1, 2, 9, 2, 8, 3, 6, 6, 4, 8, 9, 4]",0.3433159351348877,53.700000047683716,0.3493772268295288,51.95600390434265
4,4,"[2, 7, 4, 4, 8, 8, 8, 7, 2, 7, 1, 6, 3, 9, 2, 4, 6, 4, 3, 1]",0.349841046333313,56.76000714302063,0.3551184177398682,54.88400459289551
5,5,"[1, 9, 2, 0, 1, 3, 1, 9, 9, 8, 8, 0, 7, 0, 8, 4, 1, 4, 6, 3]",0.3176594257354736,53.739994764328,0.32462568283081056,51.96800231933594
6,6,"[7, 7, 4, 2, 2, 4, 7, 4, 6, 6, 0, 0, 8, 2, 0, 8, 7, 3, 3, 9]",0.2927799463272095,56.960004568099976,0.3008062124252319,54.923999309539795
7,7,"[7, 2, 0, 3, 6, 1, 3, 0, 7, 1, 2, 2, 9, 0, 1, 2, 4, 8, 6, 0]",0.26236600875854493,63.48000764846802,0.27164740562438966,61.49199604988098
8,8,"[3, 7, 3, 3, 8, 6, 9, 7, 3, 3, 3, 7, 6, 2, 6, 7, 0, 0, 3, 7]",0.2764183521270752,53.339993953704834,0.285624623298645,51.77200436592102
9,9,"[8, 4, 7, 3, 3, 7, 6, 2, 0, 0, 1, 0, 0, 3, 2, 2, 4, 3, 7, 2]",0.2743098258972168,56.09999895095825,0.2826186180114746,54.35599684715271
10,10,"[1, 3, 8, 6, 9, 4, 6, 4, 3, 8, 4, 9, 4, 2, 0, 7, 8, 9, 2, 2]",0.2566215038299561,55.059993267059326,0.26573824882507324,53.303998708724976
11,11,"[7, 1, 4, 0, 3, 8, 2, 0, 4, 7, 2, 4, 8, 4, 6, 2, 0, 3, 4, 7]",0.27565438747406007,56.460005044937134,0.2832653999328613,54.787999391555786
12,12,"[7, 9, 2, 4, 7, 4, 2, 3, 0, 9, 8, 0, 0, 7, 7, 9, 4, 0, 3, 8]",0.3170186996459961,54.90000247955322,0.3235777854919434,53.068000078201294
13,13,"[4, 7, 7, 3, 6, 1, 4, 0, 1, 8, 3, 9, 8, 8, 3, 2, 9, 9, 6, 4]",0.3076331615447998,53.96000146865845,0.3147386074066162,52.135998010635376
14,14,"[6, 9, 3, 3, 1, 3, 0, 2, 8, 9, 6, 6, 1, 4, 8, 0, 7, 7, 4, 2]",0.27768702507019044,55.73999881744385,0.2865370512008667,54.048001766204834
15,15,"[3, 1, 4, 4, 6, 8, 7, 4, 4, 1, 8, 6, 4, 2, 0, 6, 3, 9, 3, 7]",0.32182974815368653,53.519999980926514,0.3284356355667114,51.99199914932251
16,16,"[3, 7, 4, 7, 7, 3, 6, 9, 7, 2, 0, 8, 3, 2, 3, 1, 1, 6, 7, 6]",0.25862386226654055,55.239999294281006,0.2681737899780273,53.66399884223938
17,17,"[8, 9, 7, 0, 7, 2, 9, 9, 6, 7, 8, 6, 2, 0, 6, 6, 6, 1, 3, 1]",0.2552069425582886,56.71999454498291,0.26437625885009763,55.08400201797485
18,18,"[6, 0, 1, 0, 4, 7, 9, 1, 2, 1, 3, 7, 8, 1, 2, 8, 6, 8, 1, 1]",0.2558877468109131,56.880003213882446,0.26470155715942384,55.2839994430542
19,19,"[9, 0, 1, 2, 8, 7, 0, 2, 3, 6, 9, 6, 1, 8, 4, 8, 6, 9, 4, 0]",0.2399421215057373,57.79999494552612,0.24964494705200196,55.99600076675415
20,20,"[9, 4, 7, 9, 7, 8, 8, 9, 1, 2, 7, 3, 0, 9, 6, 8, 7, 6, 3, 1]",0.23777925968170166,57.020002603530884,0.2480107307434082,55.264002084732056
21,21,"[3, 3, 9, 7, 1, 6, 9, 1, 1, 7, 1, 2, 8, 0, 9, 6, 7, 0, 6, 7]",0.27216548919677735,56.460005044937134,0.2808435678482056,54.8520028591156
22,22,"[3, 6, 1, 8, 6, 7, 0, 0, 1, 0, 2, 9, 8, 7, 1, 6, 7, 1, 8, 1]",0.2604344606399536,56.199997663497925,0.26929750442504885,54.72000241279602
